id,severity,type,summary,source_file,symbol,evidence_status,relationship_status,duplicate_of,phase,pr,owner,acceptance_test,evidence,remediation_status,residual_risk,due_date
D2-H7,MEDIA,atomicity,DELETE de accounts no atomico (cascada externa),src/app/api/accounts/[id]/route.ts,DELETE,CONFIRMED,INDEPENDENT,,5-7,,,Gate 6: operacion completa revierte o es atomica,"c2552f9: accounts/[id]/route.ts DELETE: updateMany hijos + bankTransaction null-out + db.glAccount.delete como awaits secuenciales top-level, sin $transaction",OPEN,borrado parcial si falla la secuencia de limpieza,
D2-H8,MEDIA,audit-tx,Audit de fiscal-periods fuera de $transaction,src/app/api/fiscal-periods/route.ts; src/app/api/fiscal-periods/[id]/route.ts,,CONFIRMED,INDEPENDENT,,5-7,,,Gate 6: PERIOD_CREATED/LOCKED/UNLOCKED atomicos,"c2552f9: fiscal-periods/route.ts POST y [id]/route.ts PATCH: db.auditLog.create despues de la mutacion, 0 $transaction en ambos archivos (generate/route.ts usa tx para inserts pero audit fuera)",OPEN,mutacion sin registro atomico,
D2-H9,MEDIA,concurrency,post/void TOCTOU sobre fiscal-period guard,src/app/api/journal/[id]/route.ts; src/lib/services/journal-entry.service.ts,postJournalEntry,CONFIRMED,INDEPENDENT,,5-7,,,Gate 6: guards TOCTOU dentro de la transaccion,"c2552f9: journal/[id]/route.ts: assertActiveFiscalPeriod(entry.companyId, entry.date) ANTES del $transaction en post y void; ventana entre guard y update; contraste: JournalService.create pone el guard dentro del tx",OPEN,race entre control de periodo y mutacion,
D2-H10,MEDIA,concurrency,PUT borrador cambia fecha sin re-control de periodo,src/app/api/journal/[id]/route.ts; src/lib/services/journal-entry.service.ts,PUT,CONFIRMED,INDEPENDENT,,5-7,,,Gate 6: cambio de fecha re-controla periodo,c2552f9: PUT build updateData.date = new Date(date) sin assertActiveFiscalPeriod en el archivo,OPEN,fecha movida a periodo cerrado; posting posterior lo coloca en periodo cerrado,
D2-H11,MEDIA,fiscal-guard,createFromBankTransaction sin fiscal-period guard,src/lib/services/journal-entry.service.ts,createFromBankTransaction,CONFIRMED,INDEPENDENT,,5-7,,,Gate 6: import bancario controla periodo,c2552f9: journal-entry.service.ts createFromBankTransaction -> prisma.journalEntry.create con status:posted; sin assertActiveFiscalPeriod import/use,OPEN,import puede escribir en periodo cerrado,
D2-H12,MEDIA,validation,POST /api/fiscal-periods sin Zod suficiente,src/app/api/fiscal-periods/route.ts,POST,CONFIRMED,INDEPENDENT,,5-7,,,Gate 5/7: payload validado con Zod antes de servicio,c2552f9: fiscal-periods/route.ts POST: req.json() + if (!name || !startDate || !endDate) + new Date(...); sin Zod schema en el archivo,OPEN,payload invalido alcanza la capa de servicio,
D2-H13,BAJA,tenant-check,journal/[id] omite check de Company.isActive,src/app/api/journal/[id]/route.ts,,CONFIRMED,INDEPENDENT,,5-7,871bc6a,,Gate 4: empresa inactiva denegada,c2552f9: los 3 handlers pasan {requireMembership:false}; requireActiveTenantAccess (isActive) nunca corre; chequeos manuales de membresia y requireCompanyRole (POST) no testean Company.isActive; cierre: 871bc6a; PR #15 / merge e054566,CLOSED_WITH_EVIDENCE,tenancy inactivo no bloqueado en lecturas/escrituras,
D2-H14,BAJA,idempotency,Borradores duplicados posibles (sin idempotency key ni unique),src/lib/services/journal-entry.service.ts,POST,CONFIRMED,INDEPENDENT,,5-7,,,Gate 6: idempotency keys donde repetidas sean peligrosas,"c2552f9: JournalEntry model @@index([companyId,date]) solo, sin @@unique en reference/hash; JournalService.create sin idempotency key ni pre-check",OPEN,riesgo bajo: drafts no afectan balances,
D3-F1,ALTA,role-gate,Fiscal periods/year close sin gate de rol,src/app/api/fiscal-periods/close/route.ts; src/app/api/fiscal-periods/route.ts,executeYearClose,CONFIRMED,CANONICAL,,5-7,2ff523f; 96777cc16bc5f73c865f54310e2eae0a91d53213,,Gate 5: cierre contable solo con rol autorizado,"c2552f9: fiscal-periods/route.ts y close/route.ts usan requireCompanyContext() solo; cero requireCompanyRole; rbac-config (fiscal_periods.create: admin, close: accountant) no enforceado; 2ff523f solo logging; cierre: 96777cc; PR #19 / merge 6a8e735: fiscal-periods create + close role gates",CLOSED_WITH_EVIDENCE,create y close gated por rol; sin residual en alcance 5A,
D3-F2,MEDIA,idempotency,Doble-close: reference CLOSE-${year} sin @unique; segundo close crea asiento con contra-linea cero y duplica YEAR_CLOSED,src/lib/services/closing-engine.ts; prisma/schema.prisma,executeYearClose,CONFIRMED,INDEPENDENT,,5-7,,,Gate 6: idempotencia de cierre (constraint unique),c2552f9: closing-engine.ts crea reference CLOSE-${year} y audita YEAR_CLOSED dentro de $transaction pero nunca consulta por un cierre existente; JournalEntry sin @@unique en reference,OPEN,asientos de cierre duplicados sin efecto financiero demostrado,
D3-F3,MEDIA,validation,Year close sin validacion del anio (input),src/app/api/fiscal-periods/close/route.ts; src/lib/services/closing-engine.ts,executeYearClose,CONFIRMED,INDEPENDENT,,5-7,,,Gate 5/7: anio validado (numerico/rango/ISO),"c2552f9: close/route.ts: if (!year || !config) 400 luego fiscalConfigSchema.parse(config); Zod cubre solo config, nunca year",OPEN,cierre invalido por input malformado,
D3-F4,MEDIA,audit,Audit YEAR_CLOSED sin userId y fuera de datos de actor,src/app/api/fiscal-periods/close/route.ts; src/lib/audit.ts,createAuditLogWithRetry,CONFIRMED,INDEPENDENT,,5-7,,,Gate 6: evento de cierre con actor,"c2552f9: closing-engine.ts createAuditLogWithRetry({companyId, action:YEAR_CLOSED, entity:JournalEntry, entityId, details}) sin userId; close/route.ts nunca lo pasa",OPEN,evento de cierre sin actor,
D3-F5,MEDIA,error-handling,Errores de negocio mapeados a 500 en fiscal-periods/close (ej: Periodos incompletos devuelve 500),src/app/api/fiscal-periods/close/route.ts; src/lib/services/closing-engine.ts,executeYearClose,CONFIRMED,INDEPENDENT,,5-7,2ff523f,,Gate 11: errores de negocio a 4xx estables,"c2552f9: close/route.ts try/catch: return NextResponse.json({error:Error al cerrar el periodo fiscal}, {status:500}) para todos los errores; handleRouteError (route-error-handler.ts) re-lanzaria AppError con codigos correctos pero close/route.ts NO lo usa; 2ff523f detuvo el leak del mensaje y endurecio logging, mantuvo 500",IN_REMEDIATION,mapping de errores de negocio a 4xx aun incompleto (500 persistente),
D3-F6,BAJA,concurrency,TOCTOU generate: creacion de periodos concurrente puede duplicar,src/lib/fiscal-period/types.ts; src/lib/fiscal-period/strategies/*,generatePeriods,PARTIALLY_CONFIRMED,INDEPENDENT,,5-7,,,Gate 6: generacion idempotente y atomica,"c2552f9: generate/route.ts: conflict check findMany previo FUERA del tx; @@unique([companyId,name]) bloquea duplicado exacto de nombre (P2002->500); overlap de fechas con distinto nombre puede duplicar (sin unique de rango de fechas)",OPEN,riesgo bajo; overlap de fechas distinto nombre puede duplicar,
D4-F1,MEDIA,error-handling,flow-aggregator traga errores y responde 200 con ceros (catch-all fallbackResponse),src/lib/accounting/flow-aggregator.ts,fallbackResponse,CONFIRMED,INDEPENDENT,,6-7/12,,,Gate 7/12: ningun reporte sustituye error por cero,c2552f9: flow-aggregator.ts:23-35 fallbackResponse (todo ceros); :254-257 catch de todo error -> return fallbackResponse; :46-48 tambien cuando cashAccountIds.length===0; route accounting-flow/route.ts:40-46 siempre NextResponse.json(result) -> 200,OPEN,reporte se muestra como exito con datos incompletos; outage indistinguible de sin actividad,
D4-F2,MEDIA,validation,toUTCRange acepta fechas malformadas con defaults/rolls silenciosos; transactions sin validar puede 500,src/lib/reports/date-filter.ts; src/app/api/reports/*,toUTCRange,PARTIALLY_CONFIRMED,INDEPENDENT,,6-7/12,,,Gate 7: fechas invalidas rechazadas con 400,"c2552f9: date-filter.ts:8-28 mantiene defaults de anio cuando parts.length!==3 y nunca valida mes/dia; :33-39 lanza solo ante NaN o start>end; reports/export y reports/aggregate lo usan; reports/transactions/route.ts:46,49 pasa new Date(...) sin validar a Prisma (400 o 500 segun clase de error en api-handler.ts:209-219)",OPEN,fechas invalidas distorsionan reportes o devuelven 400/500 inconsistente,
D4-F3,MEDIA,error-handling,export/pdf y export/csv devuelven 200 con error.html/error.csv en vez de 400/404,src/app/api/export/pdf/route.ts; src/app/api/export/csv/route.ts,,CONFIRMED,INDEPENDENT,,6-7/12,,,Gate 12: contratos de error HTTP correctos,"c2552f9: export/pdf/route.ts:429-434,441-446 return error.html y route :76-81 lo devuelve con 200; export/csv/route.ts:217-222,228-230 error.csv con :44-49 200; limitado al subcaso reconciliation con bankAccountId faltante/desconocido; type invalido si da 400",OPEN,clients no pueden distinguir exito de error programaticamente,
D4-F4,MEDIA,audit,"Solo /reports/export audita REPORT_EXPORTED+userId+firma SHA-256; export/csv, export/pdf y accounting-flow/export no auditan ni firman",src/app/api/reports/export/route.ts; src/app/api/export/*,,CONFIRMED,INDEPENDENT,,6-7/12,,,Gate 6: exportaciones auditan y firman,"c2552f9: reports/export/route.ts:40-58 generateHash + auditLog.create action:REPORT_EXPORTED con userId + X-Integrity-Hash (:68,89); export/csv, export/pdf, accounting-flow/export sin auditLog/hash (grep repo-wide); accounting-flow/export solo logger.info(export_triggered) :89",OPEN,descargas sensibles sin trazabilidad ni integridad,
D4-F5,BAJA,csv-escaping,CSV sin escape de comillas internas,src/lib/export-csv.ts,exportCsv,CONFIRMED,INDEPENDENT,,6-7/12,,,Gate 12: CSV con encoder probado contra comillas/newlines/formulas,"c2552f9: export-csv.ts:52,61,68,77,84,91 envuelve campos en comillas sin doblar/escapar comillas internas; mismo patron inline en export/csv/route.ts:123,193,195,245,276",OPEN,CSV malformado o formula injection con comillas/newlines,
D5-H1,MEDIA,audit,Import sin evento completo BATCH_IMPORT en AuditLog; fallos/rechazos sin result:failed,src/lib/services/import.service.ts; src/lib/import-service-parsers/*,runImport,CONFIRMED,INDEPENDENT,,6-8,,,Gate 6: import audita BATCH_IMPORT completo con result,c2552f9: BATCH_IMPORT e IMPORT_* = 0 matches repo-wide; import.service.ts audita solo HOLDER_VALIDATION_* (:260-276) y OPERATIONAL_POLICY_OBSERVATION (:808-816); import/route.ts sin audit (grep vacio),OPEN,importaciones masivas sin decision registrada,
D6-A,MEDIA,audit,apply-all batch no escribe RULE_APPLIED/BATCH_APPLY en AuditLog; unica traza durable es RuleApplyRecord,src/lib/rule-engine/apply-all-engine.ts,executeApplyAll,CONFIRMED,INDEPENDENT,,6-7,,,Gate 6: apply-all audita RULE_APPLIED/BATCH_APPLY,"c2552f9: apply-all-engine.ts 0 audit refs; ancla durable es tx.ruleApplyRecord.create (:498); BATCH_APPLY 0 matches; RULE_APPLIED existe solo en single-rule-apply.service.ts:90 y bank-rules/[id]/route.ts:482; apply-all-use-case.ts:225 escribe OPERATIONAL_POLICY_OBSERVATION (politica, no apply)",OPEN,bloquea convalidacion D6 (viola contrato :546 y ADR-009),
D6-B,BAJA,audit-tx,RULE_AMBIGUITY_RESOLUTION escrita fuera del $transaction con catch silencioso,src/lib/rule-engine/apply-all-use-case.ts,resolveRuleImmediately,CONFIRMED,INDEPENDENT,,6-7,,,Gate 6: resolucion de ambiguedad atomica,c2552f9: apply-all-use-case.ts:400-406 commitea executeApplyAll en db.$transaction; :408-425 escribe RULE_AMBIGUITY_RESOLUTION despues con db.auditLog.create + catch {} (best-effort),OPEN,"si falla el audit, el apply ya committeo sin registro",
D6-C,BAJA,audit,No existen RULE_UPDATED ni RULE_DELETED (grep=0); PUT/DELETE bank-rules sin audit; autoCreateRule sin BANK_RULE_CREATED,src/app/api/bank-rules/[id]/route.ts; src/lib/services/entity-classifier.ts,,CONFIRMED,INDEPENDENT,,6-7,,,Gate 6: PUT/DELETE de reglas con evento de decision,c2552f9: RULE_UPDATED y RULE_DELETED = 0 matches repo-wide; bank-rules/[id]/route.ts PUT (:336) y DELETE (:382) raw db.bankRule.update/delete sin audit; entity-classifier.ts:141-157 autoCreateRule sin audit; BANK_RULE_CREATED solo en bank-rules/route.ts:494 (create manual),OPEN,PUT/DELETE de reglas sin evento de decision,
D7-A,MEDIA,audit-tx,POST /api/reconciliation audita reconcile_transactions FUERA del $transaction del servicio,src/app/api/reconciliation/route.ts; src/lib/services/reconciliation.service.ts,reconcile,CONFIRMED,INDEPENDENT,,6-7,,,Gate 6: audit dentro de la transaccion del servicio,c2552f9: reconciliation.service.ts:35-287 wraps todos los writes en db.$transaction sin audit dentro; reconciliation/route.ts:296-307 llama createAuditLogWithRetry DESPUES de que ReconciliationService.reconcile retorna,OPEN,JE POSTED + isReconciled pueden quedar sin audit si falla el audit post-commit,
D7-B,MEDIA,balance,adjustment crea JE posted sin recalculateBalance -> GlAccount.balance stale,src/app/api/reconciliation/adjustment/route.ts,,CONFIRMED,INDEPENDENT,,6-7,,,Gate 7: balances recalculados tras ajustes,"c2552f9: adjustment/route.ts:68-92 db.journalEntry.create({status:posted, lines:...}) sin recalculateBalance (0 imports); otros paths (reconcile :271, auto :270-271) si recalcular",OPEN,invariante persistida violada aunque sin consumidor directo hoy,
D7-C,MEDIA,audit-tx,AuditLog unico registro de ignore/unreconcile/adjustment/periods; raw db.auditLog.create fuera de tx -> 500 con mutacion aplicada,"src/app/api/reconciliation/{ignore,unreconcile,adjustment,periods}/route.ts",,CONFIRMED,INDEPENDENT,,6-7,,,Gate 6: audit atomico en reconciliacion,"c2552f9: single db.auditLog.create en ignore/route.ts:85 (tras updateMany:79), unreconcile/route.ts:67 (tras :57), adjustment/route.ts:95 (tras journalEntry.create:68), periods/route.ts:98,173,220 (tras cada mutacion); 0 $transaction en las cuatro; ignore/route.ts garantiza 500 via catch propio :104-111",OPEN,mutaciones aplicadas sin evento durable cuando falla el audit,
D7-D,BAJA,audit,predictive-suggestions audita GET sin userId (actor ausente) y con action desde config,src/app/api/reconciliation/predictive-suggestions/route.ts,,CONFIRMED,INDEPENDENT,,6-7,,,Gate 6: evento con actor,"c2552f9: predictive-suggestions/route.ts:35-43 auditLog.create({companyId, action: config.auditActions.shown, ...}) sin userId; userId destructured en :9 pero no usado en el registro",OPEN,lectura predictiva sin actor registrado,
D7-E,MEDIA,book-balance,periods/start y periods/complete calculan book balance sobre TODOS los posted sin limite de fecha -> diferencia de periodo incorrecta,src/app/api/reconciliation/periods/route.ts,,CONFIRMED,INDEPENDENT,,6-7,,,Gate 7: book balance acotado por fecha del periodo,"c2552f9: periods/route.ts:66-71 y :142-147 journalLine.findMany({where:{glAccountId, entry:{companyId, status:posted}}}) sin filtro entry.date/endDate en ninguna de las dos",OPEN,diferencia de periodo erronea con asientos post-fecha,
D8-A,MEDIA,audit,entity-context CRUD: PATCH nunca audita; DELETE solo audita cuando linkedRules>0 y fuera de tx; borrado no enlazado sin traza,src/app/api/entity-context/route.ts; src/app/api/entity-context/[id]/route.ts,updateEntityContext,CONFIRMED,INDEPENDENT,,4/6/10,,,Gate 6: borrado de conocimiento con evento atomico,"c2552f9: entity-context-crud-service.ts:53-95 updateEntityContext sin audit; removeEntityContext (97-136) audita solo si linkedRules.length>0 (line 122), DESPUES de db.entityContext.delete (line 119), fuera de tx",OPEN,borrado de conocimiento sin evento,
D8-B,BAJA,data-retention,learning/feedback escribe a JSONL transitorio excluido del backup; dedup en memoria (se pierde en restart),src/app/api/learning/feedback/route.ts; src/lib/learning/adaptive-engine.ts,recordFeedback,CONFIRMED,INDEPENDENT,,4/6/10,,,Gate 10: clases de datos con retencion definida; feedback durable,"c2552f9: adaptive-engine.ts:27-60 dedup via Set en memoria (descriptionHashes), se limpia en rotacion (44); escribe a RUNTIME_FILES.learningEvents (.data/learning-events.jsonl); src/lib/config/paths.ts:7 comentario: learningEvents -> EXCLUDED from backup; sin learning-events en backup.ts",OPEN,feedback perdido en restart; no respaldado,
D8-C,MEDIA,atomicity,auto-assignments/[id]/rollback borra bankRule+entityContext sin $transaction,src/app/api/learning/auto-assignments/[id]/rollback/route.ts,,CONFIRMED,INDEPENDENT,,4/6/10,,,Gate 6: rollback atomico,c2552f9: rollback/route.ts:40-46 db.bankRule.deleteMany luego db.entityContext.delete sin $transaction; audit despues (49),OPEN,"rollback parcial (bankRule borrada, entityContext queda)",
D8-D,MEDIA,audit-tx,learning/entities y learning/context llaman saveContext SIN tx -> audit ENTITY_CONTEXT_ASSIGNED no atomico,src/app/api/learning/entities/route.ts; src/app/api/learning/context/route.ts,saveContext,CONFIRMED,INDEPENDENT,,4/6/10,2ff523f,,Gate 6: audit no atomico viola la invarianza :214,"c2552f9: entity-context-service.ts:50 const client = tx || db; ambas rutas llaman saveContext(...) sin arg tx -> client=db, upsert+audit separados; contraste: entity-classifier.ts:191 pasa tx; 2ff523f solo logging",OPEN,audit no atomico con la operacion,
D8-E,MEDIA,audit,conversational-service auto-crea cuentas GL 3010/3040 en endpoint parse/read con side-effect silencioso (sin audit ni tx),src/lib/services/conversational-service.ts,,CONFIRMED,INDEPENDENT,,4/6/10,11dc36d,,Gate 6: mutacion contable estructural con audit y tx,c2552f9: conversational-service.ts:361-418 dentro de parseConversationalContext (llamado desde conversational-parse/route.ts:41): SYSTEM_ACCOUNTS[3010/3040] -> client.glAccount.create; sin audit ni tx; 11dc36d toco el archivo pero no este bloque,OPEN,mutacion contable estructural en endpoint de lectura,
D8-F,BAJA,guardrails,"suggest-role checa prompt injection solo en trimmedDesc, no en sampleDescriptions/web snippet",src/app/api/learning/suggest-role/route.ts; src/lib/guardrails.ts,checkPromptInjection,CONFIRMED,INDEPENDENT,,4/6/10,274b23a,,Gate 4: guardrails cubren todos los inputs del prompt,c2552f9: suggest-role/route.ts:91 checkPromptInjection(trimmedDesc) solo; sampleDescriptions (197-203) y webResult.snippet (324-329) embebidos en userPrompt/rePrompt sin check; cierre: 274b23a; PR #17 / merge 1cf6685,CLOSED_WITH_EVIDENCE,sampleDescriptions/web snippet inyectados alcanzan el prompt sin control,
D9-A,MEDIA,ssrf,"SSRF autenticado en config/ai/verify (baseUrl arbitrario, sin timeout original) + oraculo de estado",src/app/api/config/ai/verify/route.ts; src/lib/security/safe-fetch.ts,verify,PARTIALLY_CONFIRMED,INDEPENDENT,,4/6/11,4fffae1,,Gate 4: endpoint IA no alcanza destinos arbitrarios (allowlist de proveedores),"c2552f9: verify/route.ts:22 usa safeFetch; safe-fetch.ts bloquea IPs privadas/reservadas incl IPv6-mapped, pin DNS, timeout 10s, puertos 80/443; requireGlobalAdminRole anadido (:11); baseUrlToUse = baseUrl || AI_CONFIG.BASE_URL -> baseUrl publico arbitrario aun permitido, sin allowlist de proveedores; cierre: 4fffae1; PR #16 / merge db12e82",CLOSED_WITH_EVIDENCE,allowlist de proveedores / no baseUrl libre pendiente (Fase 4B),
D9-B,MEDIA,atomicity,"POST config/ai: setAiConfig con 3 upserts en Promise.all sin $transaction, sin AuditLog de la mutacion, y muta process.env",src/app/api/config/ai/route.ts; src/lib/ai-config.ts,setAiConfig,CONFIRMED,INDEPENDENT,,4/6/11,11dc36d,,Gate 6/4: config atomica sin mutar process.env,"c2552f9: ai-config.ts:140-144 tres setDbValue upserts en Promise.all, sin $transaction ni audit; config/ai/route.ts:80-81 setea process.env.AI_API_KEY/AI_MODEL (baseUrl no mutado); 11dc36d agrego role gate + validateSafeUrl, no la atomicidad",OPEN,config parcial si falla un upsert; env no sincronizado con DB en rollback; sin audit,
D9-C,BAJA,secret-leak,"ai-config.ts:80 y config/ai:33 logueaban keyPrefix=apiKey.slice(0,6) (fragmento de secreto)",src/lib/ai-config.ts; src/app/api/config/ai/route.ts,,PARTIALLY_CONFIRMED,INDEPENDENT,,4/6/11,2ff523f,,Gate 11: logs sin fragmentos de secretos; redaccion centralizada cubre keyPrefix,"c2552f9: logger.redactValue existe (logger.ts:17, G12-3) pero SENSITIVE_KEYS regex (line 15) NO matchea keyName keyPrefix; config/ai/route.ts:22 TODAVIA loguea keyPrefix: config.apiKey.slice(0,6); ai-config.ts:80 ya no loguea fragmento",IN_REMEDIATION,fragmento de 6 chars de API key aun logueado en GET /api/config/ai y no redactado,
